,designation,location,jobInfo,description,experience,company,jobId,jdURL,latestPostedDate,vacancies,isTopEmployer,isFeaturedEmployer,isPremium,isWebJob,isQuickWebJob,logoUrl,tELogoUrl,isApplied,isTopEmployerLite,whitelistedkeywords,keywords,keywordsAr,email,isFormBasedApply,jobRedirection,shortlisted,expiringSoon,isArchived,bitFlag,recruiterActive,designationSeo,isConfidentialCompany,isConsultant,jobSource,isEasyApply
10,IT Help Desk Engineer,Giza - Egypt,1 to 3 years of experience;MCSA certificate is preferred,"• Serve as the first point of contact for end-users seeking technical support over the phone or email.• Perform remote troubleshooting through diagnostic techniques and pertinent questions.• Manage PC setup and deployment for new employees.• Provide investigation, diagnosis, resolution, and recovery for hardware/software problems as applicable• Provide basic network troubleshooting.• Manage service requests, software installation, new computer setup, upgrade, etc.• Basic hardware replacement using the available items.• Maintaining the inventory by checking and update the inventory with all computer and user details.","{'min': '1', 'max': '3'}","{'name': 'Fawry for Banking Technology', 'id': '20010162', 'url': None}",240223500515,it-helpdesk-engineer-jobs-in-giza-egypt-in-fawry-for-banking-technology-1-to-3-years-n-cd-20010162-jid-240223500515,1677214800,1,False,False,False,True,False,,,False,False,,IT Help Desk Engineer,IT Help Desk Engineer,,False,False,False,False,False,0,False,IT Help Desk Engineer,False,True,WEB,False
11,IT System Administrator,Alexandria - Egypt,Experience : More than 5 years;Performs troubleshooting as required;SAN/NAS storage administration Preferred ;Good knowledge in Confluence administration,"• Managing the day-to-day operations and Configuration of the internal systems.• Monitoring system performance, maintenance, and repair.• Performs troubleshooting as required.• Establish guidelines and methods for the installation and management of the host computer operating systems.• Ensure high availability and acceptable levels of performance.• Manages the data center and computer host systems including hardware, software, and types of equipment.• Stays current with technological developments in systems administration technology and recommends ways to take advantage of new technology.• Update technical documentation.• Virtualization technologies: VMware and Microsoft, Hyper conversed.• Document maintenance for all computer systems and system infrastructure.• Windows 2008R2, 2012R2 & 2016 implementation, administration and monitoring.• SAN/NAS storage administration Preferred .• Define and administer all aspects of multiple Windows Server 2008 R2 and 2012 R2, 2016 Active Directory environments.• Perform AD Site, Organizational Unit (OU), Users and Groups, and Group Policy management.• Perform daily system monitoring, verify the integrity and availability of all hardware, server resources, systems and key processes, review system and application logs, and verify completion of scheduled jobs such as backups.• Administrating and monitoring file server.• Administrating Antivirus server.• Administrating VMware• Administrating Veaam Backup.","{'min': '5', 'max': '7'}","{'name': 'GIECO', 'id': '20010162', 'url': None}",150223500800,it-system-administrator-jobs-in-alexandria-egypt-in-gieco-5-to-7-years-n-cd-20010162-jid-150223500800,1676437200,1,False,False,False,True,False,,,False,False,it system administrator,IT System Administrator,IT System Administrator,,False,False,False,False,False,0,False,IT System Administrator,False,True,WEB,False
12,"Archer - Advisor, IT Service Operations",Cairo - Egypt,"Partners, as required, with other IT teams as appropriate to ensure problem resolution is obtained and, if necessary, root cause is identified;Typically requires 4+ years of rel...","Archer - Advisor, IT Service OperationsThe RSA Archer GRC Platform supports business-level management of enterprise governance, risk and compliance (GRC). The platform allows you to adapt a broad range of solutions to your requirements, build new business processes, and integrate with external systems without touching a single line of code. Archer s flexible strategy has won over some of the most demanding Fortune 500 companies. These businesses have seized the power of the Platform to make RSA Archer solutions their own, modeling additional business processes in a fraction of the time it would take to develop traditional custom applications.Provides expertise to ensure holistic support, proactive monitoring, and overall health of IT applications, IT tools, infrastructure (hardware, data, software), security, information access, system performance and data integrity. Utilizes appropriate IT tools to resolve issues within global, complex technical, business- and mission-critical environments. Is deemed a subject-matter expert in more than one technical discipline. Recognizes recurring problems and proactively works cross-functionally and inter-departmentally throughout the organization to recommend solutions and process improvements. Works with other IT groups, vendors, and business units to lead monitor and resolve system outages.Principal Responsibilities:• Provide direct Face-to-Face world class end user support experience with an emphasis on quality resolutions• Help improve end user's productivity by completing triage, offering advice, teaching and developing solutions to common challenges with office products and capabilities• Provide hardware break/fix support and warranty support for current desktop, laptop, tablets and workstation device• Provide operating system and application support to diagnose and resolve unique, non-recurring problems• Reimage systems as required• Identifies potential escalations and proactively alerts management as needed.• Partners, as required, with other IT teams as appropriate to ensure problem resolution is obtained and, if necessary, root cause is identified• Recommend and/or performs upgrades on systems• Work with procurement staff to purchase hardware and software• Complete installation and testing of computers and peripherals within established standards and guidelines• Provide basic support for mobile devices and printers• Provide primary support to executive users• Provide equipment move services• Ensures configuration and inventory management database entries are complete and accurate• Provides time / resource estimates for assigned tasks including time tracking activities• Local travel as needed• Perform other duties as assignedRequirements:• Certifications a plus: ITIL, Microsoft, Azure Cloud, Cisco CCNA.• Multi-language is a plus. Japanese language desired.• Able to adapt to change• Strong problem solving skills• Sense of urgency• Strong troubleshooting skills• Strong customer service skills• Strong communication skillsEducation and Experience:• Bachelor s degree• Typically requires 4+ years of related experience in a professional role.","{'min': '4', 'max': '6'}","{'name': 'RSA Security\xa0', 'id': '10008573', 'url': None}",060223501235,service-advisor-jobs-in-cairo-egypt-in-rsa-security-4-to-6-years-n-cd-10008573-jid-060223501235,1675659600,1,False,False,False,True,False,https://static.naukimg.com/ni/nipjp/10008573/10008573.gif,https://static.naukimg.com/ni/nipjp/10008573/10008573.gif,False,False,,"Archer - Advisor,IT Service Operations","Archer - Advisor,IT Service Operations",rsa.global.talent.acquisition@rsa.com,False,False,False,False,False,0,False,Archer - Advisor  IT Service Operations,False,False,EMAIL,True
13,IT Administrator,Cairo - Egypt,"At least 5 years of experience in a similar role;Extensive experience with IT systems, networks, and related technologies","The IT Administrator is in charge of the company's IT infrastructure including:• Monitoring and maintaining networks and servers.• Implementing security protocols and procedures to prevent potential threats.• Upgrading, installing and configuring new hardware and software to meet company objectives.• Creating user accounts and performing access control.• Documenting processes, as well as backing up and archiving data.• Provide IT Support to company staff.• Keeping up to date with advancements and best practices in IT administration.• Handle hardware and software procurement.• Manage and maintain software licenses.","{'min': '5', 'max': '6'}","{'name': 'Decorama', 'id': '20010162', 'url': None}",240123500307,it-administrator-jobs-in-cairo-egypt-in-decorama-5-to-6-years-n-cd-20010162-jid-240123500307,1674536400,1,False,False,False,True,False,,,False,False,it administrator,IT Administrator,IT Administrator,,False,False,False,False,False,0,False,IT Administrator,False,True,WEB,False
14,Senior IT Engineer,Giza - Egypt,"2-5 years work experience as a supervisor of an IT operation or support center;Knowledge of computer hardware and software, including experience with backup systems;Knowledge of...","• Maintain, support, and develop all IT-related systems, operations, and services necessary to ensure optimal performance of company infrastructure• Maintain the integrity and security of all company data• Make recommendations regarding system management, improvements, and enhancements• Manage and direct existing and new IT projects• Develop IT policies and procedures• Troubleshoot and diagnose software and hardware problems.","{'min': '2', 'max': '5'}","{'name': 'ElEzaby Autoparts', 'id': '20010162', 'url': None}",180123501124,senior-it-engineer-jobs-in-giza-egypt-in-elezaby-autoparts-2-to-5-years-n-cd-20010162-jid-180123501124,1674018000,1,False,False,False,True,False,,,False,False,senior it engineer,Senior IT Engineer,Senior IT Engineer,,False,False,False,False,False,0,False,Senior IT Engineer,False,True,WEB,False
15,IT Recruiter,Cairo - Egypt,"Experience working in a high-volume recruitment role, especially in Technical Recruitment;1-year experience in the same rule is a must;Previous experience in international compa...","As our business is growing, we are looking for an IT RECRUITER.If you think you have the suitable requirements and qualifications for this job, APPLY NOW!","{'min': '1', 'max': '3'}","{'name': 'Ulemt', 'id': '20010162', 'url': None}",080223500430,it-recruiter-jobs-in-cairo-egypt-in-ulemt-1-to-3-years-n-cd-20010162-jid-080223500430,1675832400,1,False,False,False,True,False,,,False,False,it recruiter,IT Recruiter,IT Recruiter,,False,False,False,False,False,0,False,IT Recruiter,False,True,WEB,False
16,IT Support,Cairo - Egypt,"Publishing support documentation to assist staff with requests for information & provide staff training if required;To perform your job successfully, you need to have the follow...","What do we expect from you:• Install and configure computer hardware operating systems and applications.• Monitor and maintain computer systems and networks.• Install and modify operating systems and software programs, such as virus protection• and word processing printers.• Talk to staff through a series of actions, either face-to-face or over the phone, to help set up systems or resolve issues.• Act as the initial point of contact for phone calls, ticketing and emails from:- Internal staff regarding any IT issues and request.- Members directly (through the ticking system or through tickets coming from the Customer Experience team) with regards to the co-working space or the Club App.• Provide the first line support - troubleshooting of IT related problems of software, hardware Laptops, PCs and Printers or redirect the issue to the concerned subject matters.• Liaise with internal support teams and external service providers as required to resolve Incidents and complete Service Requests, to ensure compliance with SLA s and OLA s.• Escalate unresolved request/incident to the infrastructure support team and back-end team.• Maintain a high degree of customer service for all support queries and adhere to all service management principles.• Troubleshoot system and network problems, diagnosing and solving hardware or software faults• Replace parts as required.• Provide support, including procedural documentation and relevant reports.• Follow diagrams and written instructions to repair a fault or set up a system.• Support the roll-out of new applications.• Set up new users' accounts and profiles and deal with password issues.• Test and evaluate new technology.• Communicate progress and follow up in a timely manner to the manager.• Sending Daily reports on open tickets and End of Day Report.• Publishing support documentation to assist staff with requests for information & provide staff training if required.• Responsible for safeguarding business, staff and customers data of all forms either sensitive or non sensitive or else will be subject to disciplinary action that might lead to dismissal.• Adhere to the set Health & Safety instruction.• Analyze tickets, repetitive issues, closing rate and lead time etc and come up with findings and recommendations to ensure efficient and seamless operations.","{'min': '1', 'max': '3'}","{'name': 'Blue Ribbon', 'id': '20010162', 'url': None}",070223500543,it-support-jobs-in-cairo-egypt-in-blue-ribbon-1-to-3-years-n-cd-20010162-jid-070223500543,1675746000,1,False,False,False,True,False,,,False,False,it support,IT Support,IT Support,,False,False,False,False,False,0,False,IT Support,False,True,WEB,False
17,Perso IT Coordinator,Cairo - Egypt,Must be a graduate of Computer Science/Communications/Electronics engineering;Should be a resident of 10th of Ramadan/Shrouk/Obour /Cairo Gesr el Suez area only OR Sharkia,"• This, not a regular IT job, the incumbent will be responsible for multiple operational tasks in collaboration with the production department and technical projects teams which are working on the Personalization (Programming) of Smartcards, if you're interested to enter the fast-growing repayment/Smartcard technology world, first read carefully below requirements then click Apply.","{'min': '3', 'max': '4'}","{'name': 'Masria Digital Payment (...', 'id': '20010162', 'url': None}",070223500630,it-coordinator-jobs-in-cairo-egypt-in-masria-digital-payment-3-to-4-years-n-cd-20010162-jid-070223500630,1675746000,1,False,False,False,True,False,,,False,False,,Perso IT Coordinator,Perso IT Coordinator,,False,False,False,False,False,0,False,Perso IT Coordinator,False,True,WEB,False
18,IT Specialist,Cairo - Egypt,"-3 Good Knowledge of windows 7 ,8.1 and 10 and windows server (2008-2012-2016);-3 Experience: 5 Years Minimum;-2 Good Knowledge of A and N","IT specialist (technical support and networks)With the following requirements and conditions:Job Requirements-3 Experience: 5 Years Minimum.-2 Good Knowledge of A and N .-3 Good Knowledge of windows 7 ,8.1 and 10 and windows server (2008-2012-2016).- 4Good Knowledge of Domain controller (DC) Active directory, DNS, DHCP and fileserver.-5 Degree in computer science or a related field is preferable-6 In-depth knowledge of technologyAbout the Job-1 Providing technical assistance and support related to computer systems, hardware, software and networking. Responds to queries, runs diagnostic programs, isolates problem, and determines and implements solutions.-2 Setting up new users' accounts and profiles and dealing with password issues.-3 Troubleshoot and resolve basic network and server access problems for end-users.-4 Installing and maintaining hardware (printers, Scanners, etc. .), computer peripherals, operating systems and computer software.-5 Ensure security and privacy of networks and computer systems-6 Implementing security and data protection-7 Resolving all issues coworkers have with their IT systems and software","{'min': '4', 'max': '5'}","{'name': 'El Namaa for Contracting', 'id': '20010123', 'url': None}",060223501275,it-specialist-jobs-in-cairo-egypt-in-el-namaa-for-contracting-4-to-5-years-n-cd-20010123-jid-060223501275,1675659600,1,False,False,False,True,False,,,False,False,it specialist,IT Specialist,IT Specialist,,False,False,False,False,False,0,False,IT Specialist,False,True,WEB,False
19,IT specialist (technical support and networks),Cairo - Egypt,"-3 Good Knowledge of windows 7 ,8.1 and 10 and windows server (2008-2012-2016);-1 Experience: 3 Years Minimum;-2 Good Knowledge of A and N","IT specialist (technical support and networks)With the following requirements and conditions:Job Requirements-1 Experience: 3 Years Minimum.-2 Good Knowledge of A and N .-3 Good Knowledge of windows 7 ,8.1 and 10 and windows server (2008-2012-2016).-4Good Knowledge of Domain controller (DC) Active directory, DNS, DHCP and fileserver.-5 Degree in computer science or a related field is preferable-6 In-depth knowledge of technologyAbout the Job-1 Providing technical assistance and support related to computer systems, hardware, software and networking. Responds to queries, runs diagnostic programs, isolates problem, and determines and implements solutions.-2 Setting up new users' accounts and profiles and dealing with password issues.-3 Troubleshoot and resolve basic network and server access problems for end-users.-4 Installing and maintaining hardware (printers, Scanners, etc. .), computer peripherals, operating systems and computer software.-5 Ensure security and privacy of networks and computer systems-6 Implementing security and data protection-7 Resolving all issues coworkers have with their IT systems and software","{'min': '3', 'max': '4'}","{'name': 'Radio Talaat', 'id': '20010123', 'url': None}",030223500480,it-specialist-technical-support-and-networks-jobs-in-cairo-egypt-in-radio-talaat-3-to-4-years-n-cd-20010123-jid-030223500480,1675400400,1,False,False,False,True,False,,,False,False,,IT specialist (technical support and networks),IT specialist (technical support and networks),,False,False,False,False,False,0,False,IT specialist  technical support and networks ,False,True,WEB,False
20,It Security & Network admin,Giza - Egypt,"4 - 6 years of experience;Experience with NGFWs, Mail Gateways, Web Gateways, WAF, Endpoint protection, SSL-VPN and IPSec-VPN, Traffic monitoring tools;Certification (CCNA, NSE ...","• Implementing new network solutions and improving the efficiency of current networks• Installing, configuring and supporting (LAN & WAN) network equipment including routers, switches, AP.• Installing and configuring network devices (Wi-Fi AP, Routers, Switches ... etc.) on multiple vendors. (Cisco, Fortigate, Aruba, HP etc.)• Security architecture development (high- and low-level design implementation).• Configuring firewalls, routing and switching to maximize network efficiency and security.• Experience with NGFWs, Mail Gateways, Web Gateways, WAF, Endpoint protection, SSL-VPN and IPSec-VPN, Traffic monitoring tools• Maximizing network performance through ongoing monitoring and troubleshooting.• Detecting & Solving existing network threats and security issues.• Determining the latest technologies and processes that improve the overall security of the system.• Modifying the technical, legal, and regulatory aspects of the system security.• Configure and maintaining security policies.• Implementing regulatory systems in accordance with IT security.• Reporting the security analysis and monitoring findings.• Creating and updating network documentation & diagrams.","{'min': '4', 'max': '6'}","{'name': 'El-Sewedy Electrometer', 'id': '20010162', 'url': None}",190123500101,network-security-administrator-jobs-in-giza-egypt-in-el-sewedy-electrometer-4-to-6-years-n-cd-20010162-jid-190123500101,1674104400,1,False,False,False,True,False,,,False,False,,It Security & Network admin,It Security & Network admin,,False,False,False,False,False,0,False,It Security   Network admin,False,True,WEB,False
